ProcessPlan,OperationID,OperationName
PP-E88023-04,40,FI
PP-E88023-04,50,Packing
PP-582E87-00,2,Assembly
PP-582E87-00,5,MAI
PP-582E87-00,10,ST
PP-582E87-00,20,PROP
PP-582E87-00,30,FT
PP-582E87-00,40,FI
PP-582E87-00,50,Packing
PP-3DD112-01,2,Brazing
PP-3DD112-01,5,LT
PP-3DD112-01,7,Bottom Preparation
PP-3DD112-01,10,Bottom Assembly
PP-3DD112-01,12,Top Preparation
PP-3DD112-01,15,Assembly Merge
PP-3DD112-01,20,MAI
PP-3DD112-01,30,ST01
PP-3DD112-01,40,PROP
PP-3DD112-01,50,FT
PP-3DD112-01,60,Final Assembly
PP-3DD112-01,70,ST02
PP-3DD112-01,80,FI
PP-3DD112-01,90,Packing
PP-D87548-00,10,Assembly
PP-D87548-00,20,FT
PP-F6A66C-01,10,Assembly
PP-F6A66C-01,20,FT
PP-3F9EB1-02,10,Assembly
PP-3F9EB1-02,20,FT
PP-39B52C-02,2,Brazing
PP-39B52C-02,5,LT
PP-39B52C-02,7,Bottom Preparation
PP-39B52C-02,10,Bottom Assembly
PP-39B52C-02,15,Assembly Merge
PP-39B52C-02,20,MAI
PP-39B52C-02,30,ST01
PP-39B52C-02,40,PROP
PP-39B52C-02,50,FT
PP-39B52C-02,60,ST02
PP-39B52C-02,70,FI
PP-39B52C-02,80,Final Assembly
PP-39B52C-02,90,Packing
PP-181567-00,2,Brazing
PP-181567-00,5,LT
PP-181567-00,7,Bottom Preparation
PP-181567-00,10,Bottom Assembly
PP-181567-00,15,Assembly Merge
PP-181567-00,20,MAI
PP-181567-00,30,ST01
PP-181567-00,40,PROP
PP-181567-00,50,FT
PP-181567-00,60,ST02
PP-181567-00,70,FI
PP-181567-00,80,Final Assembly
PP-181567-00,90,Packing
PP-4757AA-00,2,Brazing
PP-4757AA-00,5,LT
PP-4757AA-00,7,Bottom Preparation
PP-4757AA-00,10,Bottom Assembly
PP-4757AA-00,15,Assembly Merge
PP-4757AA-00,20,MAI
PP-4757AA-00,30,ST01
PP-4757AA-00,40,PROP
PP-4757AA-00,50,FT
PP-4757AA-00,60,ST02
PP-4757AA-00,70,FI
PP-4757AA-00,80,Final Assembly
PP-4757AA-00,90,Packing
PP-DD8E6B-05,2,Brazing
PP-DD8E6B-05,5,LT
PP-DD8E6B-05,7,Bottom Preparation
PP-DD8E6B-05,10,Bottom Assembly
PP-DD8E6B-05,15,Assembly Merge
PP-DD8E6B-05,20,MAI
PP-DD8E6B-05,30,ST01
PP-DD8E6B-05,40,PROP
PP-DD8E6B-05,50,FT
PP-DD8E6B-05,60,ST02
PP-DD8E6B-05,70,FI
PP-DD8E6B-05,80,Final Assembly
PP-DD8E6B-05,90,Packing
PP-AA69CA-03,2,Brazing
PP-AA69CA-03,5,LT
PP-AA69CA-03,7,Bottom Preparation
PP-AA69CA-03,10,Bottom Assembly
PP-AA69CA-03,15,Assembly Merge
PP-AA69CA-03,20,MAI
PP-AA69CA-03,30,ST01
PP-AA69CA-03,40,PROP
PP-AA69CA-03,50,FT
PP-AA69CA-03,60,ST02
PP-AA69CA-03,70,FI
PP-AA69CA-03,80,Final Assembly
PP-AA69CA-03,90,Packing
PP-ADA8DE-01,2,Brazing
