CommissionedAt,BoilerType,DhwType,Model,SerialNumber,CommissionedMonth,Target_Broken,has_mes_data,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,first_operation_type,last_operation_type,total_process_timespan_seconds,dominant_operation_type,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,NumChildren,NumParents,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,NumberOfRepeatedTests,NumberOfMarginTests,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty
2024-09-01 16:30:19.626573+00:00,1,1,0,SN-3AB371-J7,2024-09,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,1,6.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,3,Unknown,Unknown,Unknown
2025-03-31 07:38:11.205788+00:00,1,1,0,SN-1BF279-J7,2025-03,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,1,31.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,2,3,Unknown,Unknown,Unknown
2024-07-08 17:47:01.576355+00:00,3,2,0,SN-65EEB6-J7,2024-07,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,1,31.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0,3,Unknown,Unknown,Unknown
2024-10-22 11:05:36.526534+00:00,1,1,0,SN-836E60-J7,2024-10,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,1,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Unknown,Unknown,Unknown
Unknown,0,0,1,SN-4C7C68-J7,Unknown,0,1,4.0,27.5,4.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,Assembly,Packing,205.0,Assembly,1.0,1.0,110.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,160.0,0.0,0.0
2025-04-04 12:58:22.541191+00:00,2,2,1,SN-56E885-J7,2025-04,0,1,14.0,234.57142857142856,14.0,2.0,0.0,5.0,3.0,13.0,4.0,1.0,Brazing,Packing,166251.0,FT,0.0,1.0,3284.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,50.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,21,22,560.0,554.0,0.0
Unknown,0,0,1,SN-76ABA6-J7,Unknown,0,1,14.0,273.07142857142856,14.0,0.0,0.0,5.0,2.0,13.0,4.0,1.0,Brazing,Packing,93750.0,FT,0.0,1.0,3823.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,40.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,4,20,560.0,554.0,0.0
Unknown,0,0,1,SN-3601F7-J7,Unknown,0,1,14.0,367.07142857142856,14.0,3.0,0.0,5.0,3.0,13.0,4.0,1.0,Brazing,Packing,163603.0,FT,0.0,1.0,5139.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,38.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2,21,560.0,554.0,0.0
Unknown,0,0,1,SN-85CA87-J7,Unknown,0,1,14.0,243.3571428571429,14.0,2.0,0.0,5.0,3.0,13.0,4.0,1.0,Brazing,Packing,431461.0,FT,0.0,1.0,3407.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,64.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,43,22,560.0,554.0,0.0
2025-03-24 16:07:34.833236+00:00,1,1,0,SN-02941E-J7,2025-03,0,1,9.0,806.1111111111111,9.0,0.0,0.0,3.0,1.0,7.0,4.0,1.0,Assembly,Packing,17768.0,FT,1.0,1.0,7255.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,38.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,5,2,432.0,428.0,0.0
Unknown,0,0,1,SN-6B9C16-J7,Unknown,0,1,14.0,269.2857142857143,14.0,1.0,0.0,5.0,3.0,13.0,4.0,1.0,Brazing,Packing,503821.0,FT,0.0,1.0,3770.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,64.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,51,22,560.0,560.0,0.0
2025-03-12 09:29:27.519828+00:00,2,2,0,SN-80797E-JY,2025-03,0,1,8.0,1050.25,8.0,2.0,0.0,2.0,3.0,7.0,4.0,1.0,Assembly,Packing,87058.0,PROP,1.0,1.0,8402.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,31.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1,4,432.0,432.0,0.0
2025-02-26 12:58:35.733157+00:00,3,2,1,SN-98BA81-JY,2025-02,0,1,6.0,12.333333333333334,6.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,Assembly,Packing,339931.0,ST,1.0,1.0,74.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0,240.0,240.0,0.0
2025-01-23 13:45:48.284318+00:00,3,2,1,SN-F6B10B-JY,2025-01,0,1,4.0,8.5,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,Assembly,Packing,84441.0,Assembly,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,160.0,160.0,0.0
Unknown,0,0,1,SN-5F08B3-JY,Unknown,0,1,4.0,27.25,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,Assembly,Packing,202.0,Assembly,1.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,160.0,160.0,0.0
