Column1;Column2
SN-2D24A4-W7;SN-EB6C9B-V7
SN-AA4844-VY;SN-8B0EE5-87
SN-70DA25-J7;SN-E9A301-EY
SN-99F931-1Y;SN-B424C1-LY
SN-00FD89-V7;SN-E36E0C-X7
SN-C83AC5-9Y;SN-8E6DA5-37
SN-AC61F1-8Y;SN-EB1865-97
SN-FD728B-37;SN-4DF7DC-37
SN-3EAAD2-KY;SN-958882-37
SN-99C6C4-V7;SN-34FCA8-97
SN-1BF279-J7;SN-9EB1C8-97
SN-4A85DF-LY;SN-13D263-8Y
SN-88E330-27;SN-F7419E-J7
SN-63FA37-97;SN-E970E1-3Y
SN-103FCA-37;SN-5743A0-KY
SN-31B265-X7;SN-3DC3B8-27
SN-B6B2BF-J7;SN-DC9A9A-X7
SN-CC1E7B-97;SN-D9666A-8Y
SN-694F57-X7;SN-143D26-E7
SN-C8FC53-8Y;SN-A9088B-E7
SN-A115AE-VY;SN-E5ED5F-3Y
SN-BBDA59-VY;SN-DB8CA1-VY
SN-618578-VY;SN-55D3B8-XY
SN-9F07D0-W7;SN-DA2599-97
SN-5A2561-87;SN-D1AED1-K7
SN-890646-2Y;SN-321F41-J7
SN-E0F1C9-K7;SN-EAD85D-VY
SN-F99FE3-3Y;SN-36DC81-EY
SN-3B6353-X7;SN-A4BC38-VY
SN-FF91AA-L7;SN-71BA18-W7
SN-E62737-2Y;SN-161B68-97
SN-AB9400-XY;SN-14E7DA-2Y
SN-61A6DB-XY;SN-E0A66A-3Y
SN-BDD61A-17;SN-C54AE2-L7
SN-0F0B85-3Y;SN-8A0E99-J7
SN-047280-17;SN-6137AA-L7
SN-2CD7CE-97;SN-32F77A-87
SN-D6015A-27;SN-A8DA4F-9Y
SN-5B3E97-V7;SN-9C8A92-27
SN-33E7BF-EY;SN-90C65F-3Y
SN-65EEB6-J7;SN-C2F1A5-3Y
SN-6ACD44-X7;SN-83DF5F-WY
IN-A0ADD3-WY;SN-565BDE-E7
SN-489570-EY;SN-CEACA6-V7
SN-975ABA-J7;SN-DF7FBF-X7
SN-A221F0-1Y;SN-C13333-X7
SN-36EFBB-17;SN-7D973E-27
SN-836E60-J7;SN-877E46-3Y
SN-00A007-73;SN-3C5E95-VY
SN-66FB99-3Y;SN-38BBB8-JY
SN-66FB99-3Y;SN-659AB8-2Y
SN-7F70C7-KY;SN-C067D7-VY
SN-B05CF6-J7;SN-C9D365-27
SN-192CB7-8Y;SN-361076-X7
SN-50E8FC-97;SN-6B4731-37
SN-10B0AF-LY;SN-491602-V7
SN-1B3100-27;SN-D8831C-1Y
SN-D5E915-27;SN-63C077-1Y
SN-F8FF57-8Y;SN-403FA2-27
SN-2B9FBB-27;SN-920A00-E7
SN-B09D08-X7;SN-03F77E-X7
SN-2CABF1-37;SN-368590-V7
SN-0AC6F9-V7;SN-B5BB27-8Y
SN-3F92F3-X7;SN-09C149-9Y
SN-052862-KY;SN-20B394-X7
SN-2906DB-X7;SN-456237-X7
SN-C1072B-37;SN-6E6B80-X7
SN-2A8D62-KY;SN-D3B8A3-8Y
SN-450E3E-VY;SN-9867EC-27
SN-CE2C78-J7;SN-CF56B2-27
SN-DBF6A7-J7;SN-A2C11E-KY
IN-A3BED6-VY;SN-F9050A-V7
SN-9BE891-WY;SN-BEEAA2-8Y
SN-B25F33-9Y;SN-D1221C-97
SN-9886E9-K7;SN-42147A-17
SN-4C9644-3Y;SN-9FB7DA-XY
SN-28A663-VY;SN-65B23B-X7
SN-DA84A7-V7;SN-F7383B-1Y
SN-C3FF6C-WY;SN-5271EC-27
SN-15147A-J7;SN-992175-J7
