SerialNumber,MonthBucket,TotalEInHeating,TotalEOutHeating
SN-1C9D15-X7,2024-01-01 00:00:00+00,661.9172155218,5695.833537566999
SN-8D30A3-VY,2023-12-01 00:00:00+00,413.9591679979,3700.7964279419994
SN-8D30A3-VY,2024-01-01 00:00:00+00,545.0393735878,4749.854866682999
SN-C85583-3Y,2024-01-01 00:00:00+00,34.512682925,284.87169810201
SN-22DF45-E7,2024-01-01 00:00:00+00,8.767666440407,82.69513426884
SN-A72D23-WY,2024-01-01 00:00:00+00,0.0,0.0
SN-21FB35-VY,2023-12-01 00:00:00+00,460.2306934575,3744.500443941
SN-21FB35-VY,2024-01-01 00:00:00+00,676.9817999154,4909.640729652
SN-9B1D27-V7,2023-12-01 00:00:00+00,425.67598822139996,3797.742274248
SN-9B1D27-V7,2024-01-01 00:00:00+00,521.9021893596,4255.672638788999
SN-4A079E-J7,2023-12-01 00:00:00+00,334.6681118543,2995.5525805457996
SN-4A079E-J7,2024-01-01 00:00:00+00,303.5046914753,3764.8185396269996
SN-6B82B7-8Y,2023-12-01 00:00:00+00,208.5828345132,2236.3660152759
SN-6B82B7-8Y,2024-01-01 00:00:00+00,555.2190576128,4823.901108026999
SN-422B55-73,2023-12-01 00:00:00+00,396.46666808069995,3106.5523387892995
SN-422B55-73,2024-01-01 00:00:00+00,555.8996612064,3332.9778970949997
SN-573F08-V7,2024-01-01 00:00:00+00,0.0,0.0
SN-CAF8F3-8Y,2023-12-01 00:00:00+00,59.94680680093,741.3191640491999
SN-CAF8F3-8Y,2024-01-01 00:00:00+00,680.3774757479,5525.350798160999
SN-E6D90B-9Y,2023-12-01 00:00:00+00,279.9005043779,2962.7022965900996
SN-E6D90B-9Y,2024-01-01 00:00:00+00,1395.349510429,10554.518106159
SN-E55073-27,2023-12-01 00:00:00+00,438.5594223682,3429.757638447
SN-E55073-27,2024-01-01 00:00:00+00,639.0747788264,4713.1530956219995
SN-75926A-27,2023-12-01 00:00:00+00,395.7058174797,3721.1337266219994
SN-75926A-27,2024-01-01 00:00:00+00,552.1362936614,5362.949907218999
SN-4CEC69-JY,2023-12-01 00:00:00+00,0.389323258779,3.161213951049
SN-4CEC69-JY,2024-01-01 00:00:00+00,131.54015746872,1202.8482615582
SN-825D86-9Y,2023-12-01 00:00:00+00,0.600204926279,5.5309941149999995
SN-825D86-9Y,2024-01-01 00:00:00+00,760.4229824071999,6426.342550173
SN-DD22A3-27,2023-12-01 00:00:00+00,635.1334454843,6455.337469289999
SN-DD22A3-27,2024-01-01 00:00:00+00,932.4550519738999,8337.337555149
SN-0FD3AC-V7,2023-12-01 00:00:00+00,246.7986487211,2644.7316292458
SN-0FD3AC-V7,2024-01-01 00:00:00+00,55.172165132210004,661.0126859241
SN-C2E3BF-XY,2024-01-01 00:00:00+00,0.0,0.0
SN-144828-3Y,2023-12-01 00:00:00+00,275.6121763507,2410.1669691050997
SN-144828-3Y,2024-01-01 00:00:00+00,457.3602083386,3373.9002325889996
SN-65FF60-8Y,2023-12-01 00:00:00+00,388.8097801854,3186.882610752
SN-65FF60-8Y,2024-01-01 00:00:00+00,887.5380285127999,6025.7925475229995
SN-5020A4-J7,2023-12-01 00:00:00+00,588.8005884922,5376.666311274
SN-5020A4-J7,2024-01-01 00:00:00+00,731.15480151,6174.838457919
SN-5418E8-9Y,2023-12-01 00:00:00+00,396.01241711639994,3342.1492589879995
SN-5418E8-9Y,2024-01-01 00:00:00+00,556.8177872621,4103.045429805
SN-2DC3D4-V7,2023-12-01 00:00:00+00,273.24480580249997,2414.5044697640997
SN-2DC3D4-V7,2024-01-01 00:00:00+00,882.6214167770999,6309.308417855999
SN-AA6240-J7,2024-01-01 00:00:00+00,5.506561886686,35.94933840365999
SN-24B02E-7E,2023-12-01 00:00:00+00,248.8995923379,1965.3569344049997
SN-24B02E-7E,2024-01-01 00:00:00+00,409.1048696875,3049.97695149
SN-A2D6CC-VY,2024-01-01 00:00:00+00,116.87386985407,871.5588457082999
SN-3510AB-E7,2023-12-01 00:00:00+00,282.7463322754,2355.9413803040998
SN-3510AB-E7,2024-01-01 00:00:00+00,557.9492562686,3826.597696296
