CommissionedAt;State;BoilerType;DhwType;Model;Broken;SerialNumber
15/02/2025 11:42;3;3;2;3;0;SN-42D6E9-XY
05/12/2024 14:25;3;2;2;3;0;SN-87914D-X7
;2;0;0;3;0;SN-6C7259-XY
04/11/2024 15:54;3;3;2;3;0;SN-DDE280-XY
13/03/2025 21:18;3;2;2;3;0;SN-D65CBB-XY
10/12/2024 19:06;3;1;1;3;0;SN-571464-XY
05/12/2024 16:48;3;1;2;3;0;SN-219E40-XY
29/11/2024 12:58;3;1;1;3;0;SN-28C006-XY
25/03/2025 09:51;3;1;1;3;0;SN-9573F7-XY
20/12/2024 18:18;3;1;2;3;0;SN-9E44FA-E7
17/12/2024 08:47;3;3;2;3;0;SN-AC043B-E7
08/04/2025 13:25;3;1;1;3;0;SN-47F5F3-E7
29/11/2024 09:22;3;3;2;3;0;SN-6692AF-E7
10/03/2025 10:07;3;1;1;3;0;SN-EE784C-E7
18/03/2025 17:49;3;1;2;3;0;SN-BE7E32-E7
;2;0;0;3;0;SN-3549E9-E7
;4;0;0;3;0;SN-2D335C-E7
14/02/2025 15:35;3;1;1;3;0;SN-6B00BE-E7
18/03/2025 16:00;3;1;2;3;0;SN-24BE8D-E7
07/04/2025 22:12;3;2;2;3;0;SN-490471-LY
16/03/2025 07:39;3;1;1;3;0;SN-7B5B7F-LY
;2;0;0;3;0;SN-3C9881-LY
26/02/2025 12:47;3;1;1;3;0;SN-3E2458-LY
19/02/2025 16:51;3;3;2;3;0;SN-CFCE9C-LY
07/02/2025 12:41;3;1;1;3;0;SN-9295B6-LY
;2;0;0;3;0;SN-666487-LY
19/03/2025 10:10;3;3;2;3;0;SN-B4CCCA-LY
14/02/2025 20:18;3;3;2;3;0;SN-B970B0-LY
23/11/2024 20:37;3;1;1;3;0;SN-49C9F5-LY
;2;0;0;3;0;SN-C7F192-LY
30/08/2024 11:48;3;1;2;3;0;SN-2C59A5-J7
22/03/2025 11:55;3;1;2;3;0;SN-3B6BDF-J7
31/03/2025 17:13;3;1;1;3;0;SN-D88C38-JY
08/04/2025 15:04;3;1;1;3;0;SN-373894-JY
08/02/2025 12:37;3;3;2;3;0;SN-EC796A-JY
29/01/2025 13:40;3;1;1;3;0;SN-840564-JY
27/01/2025 19:08;3;3;2;3;0;SN-DCA3CF-JY
16/02/2025 18:31;3;1;1;3;0;SN-3E08A6-J7
25/11/2024 20:13;5;3;2;3;0;SN-334F07-9Y
18/02/2025 09:36;3;3;2;3;0;SN-E3A0D2-9Y
01/03/2025 10:44;3;1;1;3;0;SN-1A90A7-9Y
